t;Csour;Esol;Rt;A_405
10;FS;N3;10;0.22
10;FS;N3;20;0.154
10;FS;N3;30;0.135
10;FS;N3;40;0.16
10;FS;N3;50;0.172
10;FS;N3;60;0.149
10;FS;N3;70;0.149
10;FS;N3;80;0.112
20;FS;N3;10;0.183
20;FS;N3;20;0.114
20;FS;N3;30;0.108
20;FS;N3;40;0.142
20;FS;N3;50;0.14
20;FS;N3;60;0.14
20;FS;N3;70;0.163
20;FS;N3;80;0.12
30;FS;N3;10;0.197
30;FS;N3;20;0.149
30;FS;N3;30;0.113
30;FS;N3;40;0.155
30;FS;N3;50;0.147
30;FS;N3;60;0.157
30;FS;N3;70;0.176
30;FS;N3;80;0.124
40;FS;N3;10;0.202
40;FS;N3;20;0.164
40;FS;N3;30;0.116
40;FS;N3;40;0.156
40;FS;N3;50;0.154
40;FS;N3;60;0.158
40;FS;N3;70;0.177
40;FS;N3;80;0.125
